id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_46_useitemwithtab","UseItemWithTab → WriteByte","UseItemWithTab → WriteByte","cross_community",5,"['comm_43','comm_23','comm_63']","Method:src/com/langla/real/item/ItemHandle.java:ItemHandle.useItemWithTab#4","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_47_useitemwithtab","UseItemWithTab → WriteShort","UseItemWithTab → WriteShort","cross_community",5,"['comm_43','comm_23','comm_63']","Method:src/com/langla/real/item/ItemHandle.java:ItemHandle.useItemWithTab#4","Method:src/com/langla/server/lib/Writer.java:Writer.writeShort#1"
"proc_48_useitemwithtab","UseItemWithTab → WriteBoolean","UseItemWithTab → WriteBoolean","cross_community",5,"['comm_43','comm_23','comm_63']","Method:src/com/langla/real/item/ItemHandle.java:ItemHandle.useItemWithTab#4","Method:src/com/langla/server/lib/Writer.java:Writer.writeBoolean#1"
"proc_49_gokhamngoc","GoKhamNgoc → WriteByte","GoKhamNgoc → WriteByte","cross_community",5,"['comm_28','comm_43','comm_23','comm_63']","Method:src/com/langla/real/player/Char.java:Char.goKhamNgoc#3","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_50_upgradelucdao","UpgradeLucDao → WriteByte","UpgradeLucDao → WriteByte","cross_community",5,"['comm_28','comm_43','comm_23','comm_63']","Method:src/com/langla/real/trangbi/UpgradeTrangBi.java:UpgradeTrangBi.upgradeLucDao#4","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_51_chetao","CheTao → WriteByte","CheTao → WriteByte","cross_community",5,"['comm_139','comm_43','comm_23','comm_63']","Method:src/com/langla/real/player/Char.java:Char.cheTao#1","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_52_handle","Handle → WriteByte","Handle → WriteByte","cross_community",5,"['comm_28','comm_43','comm_23','comm_63']","Method:src/com/langla/real/trangbi/UpgradeTrangBi.java:UpgradeTrangBi.handle#4","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_53_msguseitembagx","MsgUseItemBagx → DataCenter","MsgUseItemBagx → DataCenter","cross_community",5,"['comm_63','comm_28','comm_168','comm_17']","Method:src/com/langla/real/player/Char.java:Char.msgUseItemBagx#1","Constructor:src/com/langla/data/DataCenter.java:DataCenter.DataCenter#0"
"proc_54_ghepcaitrang","GhepCaiTrang → WriteByte","GhepCaiTrang → WriteByte","cross_community",5,"['comm_28','comm_43','comm_23','comm_63']","Method:src/com/langla/real/player/Char.java:Char.ghepCaiTrang#1","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_55_buyshop","BuyShop → WriteByte","BuyShop → WriteByte","cross_community",5,"['comm_43','comm_23','comm_63']","Method:src/com/langla/real/player/Char.java:Char.BuyShop#2","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_56_khamngoc","KhamNgoc → WriteByte","KhamNgoc → WriteByte","cross_community",5,"['comm_28','comm_43','comm_23','comm_63']","Method:src/com/langla/real/player/Char.java:Char.khamNgoc#3","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_57_doibuano","DoiBuaNo → WriteByte","DoiBuaNo → WriteByte","cross_community",5,"['comm_43','comm_23','comm_63']","Method:src/com/langla/real/trangbi/UpgradeTrangBi.java:UpgradeTrangBi.DoiBuaNo#3","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_58_writeme","WriteMe → Split","WriteMe → Split","cross_community",5,"['comm_63','comm_28']","Method:src/com/langla/real/player/Char.java:Char.writeMe#1","Method:src/com/langla/lib/Utlis.java:Utlis.split#2"
"proc_59_confirmtachcaitrang","ConfirmTachCaiTrang → WriteByte","ConfirmTachCaiTrang → WriteByte","cross_community",5,"['comm_43','comm_23','comm_63']","Method:src/com/langla/real/player/Char.java:Char.confirmTachCaiTrang#2","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_60_confirmtachcaitrang","ConfirmTachCaiTrang → DataCenter","ConfirmTachCaiTrang → DataCenter","cross_community",5,"['comm_43','comm_168','comm_17']","Method:src/com/langla/real/player/Char.java:Char.confirmTachCaiTrang#2","Constructor:src/com/langla/data/DataCenter.java:DataCenter.DataCenter#0"
"proc_61_nangcapbuano","NangCapBuaNo → WriteByte","NangCapBuaNo → WriteByte","cross_community",5,"['comm_28','comm_43','comm_23','comm_63']","Method:src/com/langla/real/trangbi/UpgradeTrangBi.java:UpgradeTrangBi.NangCapBuaNo#5","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_62_dichchuyen","DichChuyen → WriteByte","DichChuyen → WriteByte","cross_community",5,"['comm_28','comm_43','comm_23','comm_63']","Method:src/com/langla/real/player/Char.java:Char.dichChuyen#5","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_63_phatluong","PhatLuong → WriteByte","PhatLuong → WriteByte","cross_community",5,"['comm_54','comm_43','comm_23','comm_63']","Method:src/com/langla/real/family/Family.java:Family.phatLuong#3","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_64_donegiaodich","DoneGiaoDich → WriteByte","DoneGiaoDich → WriteByte","cross_community",5,"['comm_43','comm_23','comm_63']","Method:src/com/langla/real/player/Char.java:Char.DoneGiaoDich#0","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_65_cuonghoa","CuongHoa → Split","CuongHoa → Split","cross_community",5,"['comm_188','comm_28']","Method:src/com/langla/real/player/Char.java:Char.cuongHoa#4","Method:src/com/langla/lib/Utlis.java:Utlis.split#2"
"proc_66_addchar","AddChar → LogError","AddChar → LogError","cross_community",5,"['comm_138','comm_63','comm_23']","Method:src/com/langla/real/map/Map.java:Map.addChar#1","Method:src/com/langla/lib/Utlis.java:Utlis.logError#3"
"proc_67_addchar","AddChar → Writer","AddChar → Writer","cross_community",5,"['comm_138','comm_23']","Method:src/com/langla/real/map/Map.java:Map.addChar#1","Constructor:src/com/langla/server/lib/Writer.java:Writer.Writer#0"
"proc_68_addchar","AddChar → WriteBoolean","AddChar → WriteBoolean","cross_community",5,"['comm_138','comm_23','comm_63']","Method:src/com/langla/real/map/Map.java:Map.addChar#1","Method:src/com/langla/server/lib/Writer.java:Writer.writeBoolean#1"
"proc_69_addchar","AddChar → WriteByte","AddChar → WriteByte","cross_community",5,"['comm_138','comm_43','comm_23','comm_63']","Method:src/com/langla/real/map/Map.java:Map.addChar#1","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_70_mobattackchar","MobAttackChar → Writer","MobAttackChar → Writer","cross_community",5,"['comm_165','comm_23']","Method:src/com/langla/real/map/Map.java:Zone.mobAttackChar#2","Constructor:src/com/langla/server/lib/Writer.java:Writer.Writer#0"
"proc_71_mobattackchar","MobAttackChar → WriteByte","MobAttackChar → WriteByte","cross_community",5,"['comm_165','comm_23','comm_63']","Method:src/com/langla/real/map/Map.java:Zone.mobAttackChar#2","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_72_hoanthanhnhiemvu","HoanThanhNhiemVu → WriteByte","HoanThanhNhiemVu → WriteByte","cross_community",5,"['comm_43','comm_23','comm_63']","Method:src/com/langla/real/task/TaskHandler.java:TaskHandler.hoanThanhNhiemVu#2","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_73_hoanthanhnhiemvu","HoanThanhNhiemVu → DataCenter","HoanThanhNhiemVu → DataCenter","cross_community",5,"['comm_43','comm_158','comm_17']","Method:src/com/langla/real/task/TaskHandler.java:TaskHandler.hoanThanhNhiemVu#2","Constructor:src/com/langla/data/DataCenter.java:DataCenter.DataCenter#0"
"proc_74_run","Run → WriteByte","Run → WriteByte","cross_community",5,"['comm_31','comm_43','comm_23','comm_63']","Method:src/com/langla/server/main/Maintenance.java:Maintenance.run#0","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_75_nhanphucloi","NhanPhucLoi → WriteByte","NhanPhucLoi → WriteByte","cross_community",5,"['comm_43','comm_23','comm_63']","Method:src/com/langla/real/player/Char.java:Char.nhanPhucLoi#1","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_76_vutitem","VutItem → Writer","VutItem → Writer","cross_community",5,"['comm_48','comm_23']","Method:src/com/langla/real/player/Char.java:Char.vutItem#1","Constructor:src/com/langla/server/lib/Writer.java:Writer.Writer#0"
"proc_77_vutitem","VutItem → WriteByte","VutItem → WriteByte","cross_community",5,"['comm_48','comm_23','comm_63']","Method:src/com/langla/real/player/Char.java:Char.vutItem#1","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_78_vutitem","VutItem → WriteShort","VutItem → WriteShort","cross_community",5,"['comm_48','comm_23','comm_63']","Method:src/com/langla/real/player/Char.java:Char.vutItem#1","Method:src/com/langla/server/lib/Writer.java:Writer.writeShort#1"
"proc_79_raoban","RaoBan → WriteByte","RaoBan → WriteByte","cross_community",5,"['comm_43','comm_23','comm_63']","Method:src/com/langla/real/player/Char.java:Char.RaoBan#1","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_80_tachcuonghoa","TachCuongHoa → DataCenter","TachCuongHoa → DataCenter","cross_community",5,"['comm_188','comm_168','comm_17']","Method:src/com/langla/real/player/Char.java:Char.tachCuongHoa#2","Constructor:src/com/langla/data/DataCenter.java:DataCenter.DataCenter#0"
"proc_81_nhanthuong","NhanThuong → WriteByte","NhanThuong → WriteByte","cross_community",5,"['comm_43','comm_23','comm_63']","Method:src/com/langla/real/khobau/KhoBau.java:KhoBau.NhanThuong#2","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_82_taogiatoc","TaoGiaToc → WriteByte","TaoGiaToc → WriteByte","cross_community",5,"['comm_43','comm_23','comm_63']","Method:src/com/langla/real/family/Family.java:Family.TaoGiaToc#2","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_83_kickmember","KickMember → WriteByte","KickMember → WriteByte","cross_community",5,"['comm_54','comm_43','comm_23','comm_63']","Method:src/com/langla/real/family/Family.java:Family.kickMember#2","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_84_typemenu","TypeMenu → WriteByte","TypeMenu → WriteByte","cross_community",5,"['comm_43','comm_23','comm_63']","Method:src/com/langla/real/npc/NPC_Action.java:NPC_Action.TypeMenu#2","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
"proc_85_typemenu","TypeMenu → Writer","TypeMenu → Writer","cross_community",5,"['comm_43','comm_23']","Method:src/com/langla/real/npc/NPC_Action.java:NPC_Action.TypeMenu#2","Constructor:src/com/langla/server/lib/Writer.java:Writer.Writer#0"
